# index;voltage_out
997;-5.25449e-05
998;-5.23097e-05
999;-5.207e-05
1000;-5.18269e-05
1001;-5.15814e-05
1002;-5.13347e-05
1003;-5.10878e-05
1004;-5.0842e-05
1005;-5.05982e-05
1006;-5.03576e-05
1007;-5.01212e-05
1008;-4.98902e-05
1009;-4.96656e-05
1010;-4.94483e-05
1011;-4.92394e-05
1012;-4.90398e-05
1013;-4.88505e-05
1014;-4.86723e-05
1015;-4.85061e-05
1016;-4.83526e-05
1017;-4.82126e-05
1018;-4.80868e-05
1019;-4.7975e-05
1020;-4.78795e-05
1021;-4.77999e-05
1022;-4.77366e-05
1023;-4.769e-05
1024;-4.76605e-05
1025;-4.76482e-05
1026;-4.76534e-05
1027;-4.76762e-05
1028;-4.77167e-05
1029;-4.77747e-05
1030;-4.78494e-05
1031;-4.79422e-05
1032;-4.80521e-05
1033;-4.81788e-05
1034;-4.8322e-05
1035;-4.84813e-05
1036;-4.86561e-05
1037;-4.8846e-05
1038;-4.90502e-05
1039;-4.92682e-05
1040;-4.94992e-05
1041;-4.97425e-05
1042;-4.99972e-05
1043;-5.02624e-05
1044;-5.05374e-05
1045;-5.0821e-05
1046;-5.11124e-05
1047;-5.14106e-05
1048;-5.17144e-05
1049;-5.20229e-05
1050;-5.23349e-05
1051;-5.26494e-05
1052;-5.29653e-05
1053;-5.32814e-05
1054;-5.35967e-05
1055;-5.39101e-05
1056;-5.42204e-05
1057;-5.45265e-05
1058;-5.48275e-05
1059;-5.51222e-05
1060;-5.54096e-05
1061;-5.56887e-05
1062;-5.59586e-05
1063;-5.62182e-05
1064;-5.64668e-05
1065;-5.67035e-05
1066;-5.69274e-05
1067;-5.71379e-05
1068;-5.73342e-05
1069;-5.75156e-05
1070;-5.76817e-05
1071;-5.78318e-05
1072;-5.79656e-05
1073;-5.80825e-05
1074;-5.81824e-05
1075;-5.82648e-05
1076;-5.83297e-05
1077;-5.83775e-05
1078;-5.84068e-05
1079;-5.84183e-05
1080;-5.84121e-05
1081;-5.83884e-05
1082;-5.83475e-05
1083;-5.82895e-05
1084;-5.8215e-05
1085;-5.81242e-05
1086;-5.80177e-05
1087;-5.78969e-05
1088;-5.77608e-05
1089;-5.76108e-05
1090;-5.74476e-05
1091;-5.7272e-05
1092;-5.70849e-05
1093;-5.6887e-05
1094;-5.66793e-05
1095;-5.64627e-05
1096;-5.62383e-05
1097;-5.6007e-05
1098;-5.57699e-05
1099;-5.5528e-05
1100;-5.52824e-05
1101;-5.50343e-05
1102;-5.47846e-05
1103;-5.45346e-05
1104;-5.42853e-05
1105;-5.40378e-05
1106;-5.37933e-05
1107;-5.35528e-05
1108;-5.33174e-05
1109;-5.30882e-05
1110;-5.28661e-05
1111;-5.26522e-05
1112;-5.24474e-05
1113;-5.22528e-05
1114;-5.2069e-05
1115;-5.18971e-05
1116;-5.17378e-05
1117;-5.15918e-05
1118;-5.14599e-05
1119;-5.13427e-05
1120;-5.124e-05
1121;-5.11541e-05
1122;-5.10843e-05
1123;-5.10313e-05
1124;-5.09953e-05
1125;-5.09765e-05
1126;-5.09753e-05
1127;-5.09916e-05
1128;-5.10256e-05
1129;-5.10772e-05
1130;-5.11456e-05
1131;-5.12322e-05
1132;-5.13359e-05
1133;-5.14566e-05
1134;-5.15939e-05
1135;-5.17474e-05
1136;-5.19166e-05
1137;-5.2101e-05
1138;-5.23e-05
1139;-5.25129e-05
1140;-5.2739e-05
1141;-5.29776e-05
1142;-5.32279e-05
1143;-5.34889e-05
1144;-5.37599e-05
1145;-5.40398e-05
1146;-5.43277e-05
1147;-5.46225e-05
1148;-5.49234e-05
1149;-5.52291e-05
1150;-5.55387e-05
1151;-5.5851e-05
1152;-5.61649e-05
1153;-5.64793e-05
1154;-5.67932e-05
1155;-5.71053e-05
1156;-5.74147e-05
1157;-5.77201e-05
1158;-5.80206e-05
1159;-5.83151e-05
1160;-5.86024e-05
1161;-5.88817e-05
1162;-5.91519e-05
1163;-5.94122e-05
1164;-5.96615e-05
1165;-5.98991e-05
1166;-6.01241e-05
1167;-6.03357e-05
1168;-6.05333e-05
1169;-6.07162e-05
1170;-6.08838e-05
1171;-6.10355e-05
1172;-6.11709e-05
1173;-6.12895e-05
1174;-6.13911e-05
1175;-6.14753e-05
1176;-6.15419e-05
1177;-6.15915e-05
1178;-6.16224e-05
1179;-6.16355e-05
1180;-6.16309e-05
1181;-6.16087e-05
1182;-6.15691e-05
1183;-6.15125e-05
1184;-6.1439e-05
1185;-6.13492e-05
1186;-6.12435e-05
1187;-6.11234e-05
1188;-6.09878e-05
1189;-6.08381e-05
1190;-6.0675e-05
1191;-6.04993e-05
1192;-6.03119e-05
1193;-6.01134e-05
1194;-5.9905e-05
1195;-5.96874e-05
1196;-5.94617e-05
1197;-5.92289e-05
1198;-5.899e-05
1199;-5.87461e-05
1200;-5.84983e-05
1201;-5.82476e-05
1202;-5.79952e-05
1203;-5.77421e-05
1204;-5.74896e-05
1205;-5.72386e-05
1206;-5.69903e-05
1207;-5.67458e-05
1208;-5.65062e-05
1209;-5.62725e-05
1210;-5.60458e-05
1211;-5.5827e-05
1212;-5.56172e-05
1213;-5.54173e-05
1214;-5.52282e-05
1215;-5.50507e-05
1216;-5.48856e-05
1217;-5.47338e-05
1218;-5.4596e-05
1219;-5.44727e-05
1220;-5.43638e-05
1221;-5.42716e-05
1222;-5.41956e-05
1223;-5.41362e-05
1224;-5.40939e-05
1225;-5.40687e-05
1226;-5.40611e-05
1227;-5.4071e-05
1228;-5.40987e-05
1229;-5.41441e-05
1230;-5.42063e-05
1231;-5.42867e-05
1232;-5.43844e-05
1233;-5.44992e-05
1234;-5.46307e-05
1235;-5.47785e-05
1236;-5.49422e-05
1237;-5.51213e-05
1238;-5.53151e-05
1239;-5.5523e-05
1240;-5.57444e-05
1241;-5.59784e-05
1242;-5.62243e-05
1243;-5.64812e-05
1244;-5.67483e-05
1245;-5.70245e-05
1246;-5.7309e-05
1247;-5.76008e-05
1248;-5.78987e-05
1249;-5.82018e-05
1250;-5.8509e-05
1251;-5.88192e-05
